,#,條碼號,館藏地/室,索書號,資料類型,目前狀態 / 到期日,附件,預約,圖書館,連結
0,1,121014,中文圖書區,873.57 6044,一般圖書資料 /一般,書在館,,不可預約,美和科技大學圖書館,http://webpac.meiho.edu.tw/bookDetail.do?id=60212&resid=188940342&nowid=1
1,1,C000596,中文圖書區,873.57 6044-2 91,一般圖書資料 /一般,書在館,,不可預約,美和科技大學圖書館,http://webpac.meiho.edu.tw/bookDetail.do?id=92359&resid=188940342&nowid=2
