,#,條碼號,館藏地/室,索書號,資料類型,目前狀態 / 到期日,附件,預約,圖書館,連結
0,1,180910,南華大學圖書館/3F東方語文圖書區(分類號300-999.99),BOOK 873.57 6014,一般書 /一般,仍在館內,,不可預約,南華大學圖書館,http://hylib.nhu.edu.tw//bookDetail.do?id=66740
1,2,255216,南華大學圖書館/3F東方語文圖書區(分類號300-999.99),BOOK 873.57 6014 c.2,一般書 /一般,仍在館內,,不可預約,南華大學圖書館,http://hylib.nhu.edu.tw//bookDetail.do?id=66740
