,#,登錄號,館藏地/室,索書號,資料類型,目前狀態 / 到期日,附件,預約,圖書館,連結
0,1,C058186,知本總館/3F兒童文學書庫,＋ 846 6014 c.6,一般圖書(兒童)/一般,可預約調借,,/ 0人預約,國立臺東大學 館藏查詢系統,http://hylib.lib.nttu.edu.tw/webpac/bookDetail.do?id=89287
1,2,C058185,知本總館/3F兒童文學書庫,＋ 846 6014 c.5,一般圖書(兒童)/一般,可預約調借,,/ 0人預約,國立臺東大學 館藏查詢系統,http://hylib.lib.nttu.edu.tw/webpac/bookDetail.do?id=89287
2,3,C058184,知本總館/3F兒童文學書庫,＋ 846 6014 c.4,一般圖書(兒童)/一般,可預約調借,,/ 0人預約,國立臺東大學 館藏查詢系統,http://hylib.lib.nttu.edu.tw/webpac/bookDetail.do?id=89287
3,4,C049281,知本總館/3F兒童文學書庫,＋ 846 6014 c.3,一般圖書(兒童)/一般,可預約調借,,/ 0人預約,國立臺東大學 館藏查詢系統,http://hylib.lib.nttu.edu.tw/webpac/bookDetail.do?id=89287
4,5,C035307,知本總館/3F兒童文學書庫,＋ 846 6014 c.2,一般圖書(兒童)/一般,可預約調借,,/ 0人預約,國立臺東大學 館藏查詢系統,http://hylib.lib.nttu.edu.tw/webpac/bookDetail.do?id=89287
5,6,C031122,知本總館/3F兒童文學書庫,＋ 846 6014,一般圖書(兒童)/一般,可預約調借,,/ 0人預約,國立臺東大學 館藏查詢系統,http://hylib.lib.nttu.edu.tw/webpac/bookDetail.do?id=89287
