,#,條碼號,館藏地/室,索書號,資料類型,目前狀態 / 到期日,附件,備註,預約,圖書館,連結
0,1,E227675,國立金門大學各系所/金沙校區學生宿舍,873.57 857 89 c.4,圖書/一般,書在館,,,不可預約,國立金門大學圖書館,https://lib.nqu.edu.tw/bookDetail.do?id=9668
1,2,E219874,國立金門大學圖書館/圖書館,873.57 857 89 c.3,圖書/一般,書在館,,,不可預約,國立金門大學圖書館,https://lib.nqu.edu.tw/bookDetail.do?id=9668
2,3,E178789,國立金門大學圖書館/圖書館,873.57 857 89 c.2,圖書/一般,書在館,,范仲如主任贈,不可預約,國立金門大學圖書館,https://lib.nqu.edu.tw/bookDetail.do?id=9668
3,4,E132347,國立金門大學圖書館/圖書館,873.57 857 89,圖書/一般,書在館,,,不可預約,國立金門大學圖書館,https://lib.nqu.edu.tw/bookDetail.do?id=9668
