,#,條碼號,館藏地/室,索書號,狀態,目前狀態 / 到期日,附件,預約,圖書館,連結
0,1,C0143757,家聲紀念圖書館/總館,873.57 857 2000,已被外借,已被外借 / 2021-09-24,,/ 0人預約,育達科技大學圖書館,http://120.106.11.155/bookDetail.do?id=13165
1,2,C0004323,家聲紀念圖書館/總館,873.57 857 2000,書在館,書在館,,不可預約,育達科技大學圖書館,http://120.106.11.155/bookDetail.do?id=13165
