,#,條碼號,館藏地/室,索書號,資料類型,目前狀態 / 到期日,附件,預約,圖書館,連結
0,1,A130152,北商大圖書館總館/書庫,873.57 4220-1 c.1,中文圖書/一般,書在館,,不可預約,館藏查詢-國立臺北商業大學圖書館,http://webpac.ntub.edu.tw/bookDetail.do?id=52185
1,2,A130153,桃園分館/2F書庫,873.57 4220-1 c.2,中文圖書/一般,書在館,,不可預約,館藏查詢-國立臺北商業大學圖書館,http://webpac.ntub.edu.tw/bookDetail.do?id=52185
