,#,條碼號,館藏地/室,索書號,資料類型,目前狀態 / 到期日,附件,預約,圖書館,連結
0,1,241006,圖書館/4F東方語文圖書區,876.57 857 c.2,圖書/一般,已被外借 / 2021-09-20,,/ 0人預約,國立臺灣藝術大學圖書館,http://webpac.ntua.edu.tw/bookDetail.do?id=99192
1,2,129215,圖書館/4F東方語文圖書區,876.57 857,圖書/一般,書在館,,不可預約,國立臺灣藝術大學圖書館,http://webpac.ntua.edu.tw/bookDetail.do?id=99192
