,#,條碼號,館藏地/室,索書號,資料類型,目前狀態 / 到期日,附件,預約,圖書館,連結
0,1,88309,B209書庫/B209書庫,873.57 6014,一般圖書/一般,在館內,,不可預約,國立臺灣體育運動大學圖書館,https://hylib.ntus.edu.tw/bookDetail.do?id=137024
1,2,88310,圖書館/一樓書庫,873.57 6014,一般圖書/一般,在館內,,不可預約,國立臺灣體育運動大學圖書館,https://hylib.ntus.edu.tw/bookDetail.do?id=137024
2,3,136289,圖書館/一樓書庫,873.57 6014,一般圖書/一般,在館內,,不可預約,國立臺灣體育運動大學圖書館,https://hylib.ntus.edu.tw/bookDetail.do?id=137024
3,4,136290,圖書館/一樓書庫,873.57 6014,一般圖書/一般,在館內,,不可預約,國立臺灣體育運動大學圖書館,https://hylib.ntus.edu.tw/bookDetail.do?id=137024
