,#,條碼號,館藏地/室,索書號,備註,資料類型,目前狀態 / 到期日,附件,預約,圖書館,連結
0,1,9011807,新竹圖書館/中文圖書室,873.57 6014,,圖書,書在館,,不可預約,中國科技大學圖書資訊中心,https://webpac.cute.edu.tw/bookDetail.do?id=81304&Lflag=1
1,1,55115,格致圖書館/中文圖書室,873.57 6014,,圖書,書在館,,不可預約,中國科技大學圖書資訊中心,https://webpac.cute.edu.tw/bookDetail.do?id=83506&Lflag=1
