,#,條碼號,館藏地/室,索書號,資料類型,目前狀態 / 到期日,附件,預約,圖書館,連結
0,1,102406,一般書庫,PZ7 .R79P37 2001 v.1,一般圖書,書在館,,不可預約,臺北基督學院圖書館,http://webpac.cct.edu.tw/bookDetail.do?id=14055
1,2,98003,一般書庫,PZ7 .R79P37 2000 v.1 c.2,一般圖書,書在館,,不可預約,臺北基督學院圖書館,http://webpac.cct.edu.tw/bookDetail.do?id=14055
2,3,94718,一般書庫,PZ7 .R79P37 2000 v.1 c.1,一般圖書,書在館,,不可預約,臺北基督學院圖書館,http://webpac.cct.edu.tw/bookDetail.do?id=14055
3,4,43861,一般書庫,PZ7 .R79P37 2000 v.1,一般圖書,書在館,,不可預約,臺北基督學院圖書館,http://webpac.cct.edu.tw/bookDetail.do?id=14055
