,#,條碼號,館藏地/室,索書號,資料類型,目前狀態 / 到期日,附件,預約,圖書館,連結
0,1,GC50798,德霖圖書總館/1F密集書庫區,873.57 857 2000 c.3,一般圖書/一般,書在館,,不可預約,宏國德霖科技大學圖書館,http://210.60.142.23/bookDetail.do?id=150817
1,2,C070432,德霖圖書總館/1F密集書庫區,873.57 857 2000 c.2,一般圖書/一般,書在館,,不可預約,宏國德霖科技大學圖書館,http://210.60.142.23/bookDetail.do?id=150817
2,3,C065602,德霖圖書總館/4F小說書區,873.57 857 2000,一般圖書/一般,書在館,,不可預約,宏國德霖科技大學圖書館,http://210.60.142.23/bookDetail.do?id=150817
