,#,條碼號,館藏室,索書號,資料類型,目前狀態 / 到期日,附件,預約,圖書館,連結
0,1,162328,圖書資訊館/6樓中文圖書區,873.57 6014 v.1 c.3,圖書/一般,仍在館內,,不可預約,國立宜蘭大學圖書資訊館,https://lib.niu.edu.tw/bookDetail.do?id=357171
1,2,109223,圖書資訊館/6樓中文圖書區,873.57 6014 v.1 c.2,圖書/一般,仍在館內,,不可預約,國立宜蘭大學圖書資訊館,https://lib.niu.edu.tw/bookDetail.do?id=357171
2,3,105388,圖書資訊館/6樓中文圖書區,873.57 6014 v.1,圖書/一般,仍在館內,,不可預約,國立宜蘭大學圖書資訊館,https://lib.niu.edu.tw/bookDetail.do?id=357171
