,#,條碼號,館藏地/室,索書號,資料類型,目前狀態 / 到期日,附件,預約,圖書館,連結
0,1,108434,圖書總館/4F中文書庫,873.57 6014,可外借一般書/一般,書在館,,不可預約,景文科技大學圖書館,https://jinwenlib.just.edu.tw/bookDetail.do?id=257317
1,2,104216,圖書總館/地下室書庫,873.57 6014 c.2,可外借一般書/一般,書在館,,不可預約,景文科技大學圖書館,https://jinwenlib.just.edu.tw/bookDetail.do?id=257317
