,#,登錄號,館藏地/室,索書號,資料類型,目前狀態 / 到期日,附件,預約,圖書館,連結
0,1,184504,圖書總館/3樓中文書庫區,873.57 6014 民89 v.1 c.2,一般書 /一般,書在館,,不可預約,僑光科技大學圖書館,http://lib.webpac.ocu.edu.tw/bookDetail.do?id=159914&resid=188875933&nowid=1
1,1,118140,圖書總館/3樓中文書庫區,873.57 6014 民89 v.1 c.1,一般書 /一般,書在館,,不可預約,僑光科技大學圖書館,http://lib.webpac.ocu.edu.tw/bookDetail.do?id=237986&resid=188875933&nowid=2
2,2,89606,圖書總館/3樓中文書庫區,873.57 6014 民89 v.1,一般書 /一般,書在館,,不可預約,僑光科技大學圖書館,http://lib.webpac.ocu.edu.tw/bookDetail.do?id=237986&resid=188875933&nowid=2
